id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad,distancia_cuerpo_agua,distancia_curso_agua,microbasurales_cercanos,se_inunda_binaria,frecuencia_num,frecuencia_codificada_Alta,frecuencia_codificada_Baja,frecuencia_codificada_Media,frecuencia_codificada_Otro
927,22117.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Malvinas Argentinas,Tierras Altas,9948.725436669822,530.0109139265091,3,2,3,True,False,False,False
928,23642.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Trujui,14388.290196035532,1112.2183144309993,1,2,3,True,False,False,False
929,16493.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Villa Fiorito,13447.323340810615,61.65409280011266,7,1,2,False,False,True,False
930,15280.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Avellaneda,Sarandí,3948.090532089701,1026.9795996873788,1,1,1,False,True,False,False
931,23774.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Francisco Álvarez,19451.064400797,1715.5887707768215,1,2,3,True,False,False,False
932,20637.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Santa Catalina,14041.931929864742,20.109219906500428,4,2,3,True,False,False,False
933,15582.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Moreno,Paso Del Rey,14323.38524445368,541.8234463200374,3,1,1,False,True,False,False
934,12850.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Santa Catalina,12538.382949188252,96.19267491995842,7,1,1,False,True,False,False
935,15499.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Santa Catalina,13867.617169835765,246.21738220152176,4,2,3,True,False,False,False
936,14686.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Moreno,Trujui,15178.81981720969,59.99946277724917,2,2,1,False,True,False,False
937,22971.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Matanza,Tapiales,13400.126382566044,859.5740915790403,1,2,2,False,False,True,False
938,23086.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,3017.465518696473,2043.166282688594,5,2,2,False,False,True,False
939,23005.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,San Justo,10412.043895736982,804.4260283670508,3,2,1,False,True,False,False
940,16780.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,Isidro Casanova,8890.990861683535,997.6019825636768,1,2,3,True,False,False,False
941,23112.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,1993.1260601466347,395.4695162299183,4,2,2,False,False,True,False
942,12857.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,3101.4306644166227,2185.481619914592,3,2,3,True,False,False,False
943,15592.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,168.0770932907525,961.7163520554724,3,2,3,True,False,False,False
944,14913.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Tigre,Don Torcuato,7586.088838587351,47.18343187391146,1,2,3,True,False,False,False
946,16332.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,2466.0840493911483,1690.5800204926045,4,2,3,True,False,False,False
947,23711.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,Rafael Castillo,3575.2990364878656,1780.6878121547018,3,2,3,True,False,False,False
948,23031.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,San Justo,11919.455192816187,4059.407968976431,1,2,1,False,True,False,False
949,16107.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Avellaneda,Zona De Reserva,2079.79440373676,1672.1654334851853,2,2,1,False,True,False,False
950,12562.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,483.05356109626734,352.28054929291426,4,2,3,True,False,False,False
951,23120.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,365.7114667226272,888.5496769471931,2,2,2,False,False,True,False
952,16614.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,Virrey Del Pino,2625.3761779932106,107.66534069329542,3,2,1,False,True,False,False
953,16349.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,1701.55655769774,215.2816012983856,3,2,1,False,True,False,False
954,16343.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,González Catán,2752.241702286638,1474.6622586491387,3,2,1,False,True,False,False
955,20075.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Moreno,14159.176353749655,921.3118658522056,4,2,3,True,False,False,False
956,23012.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Matanza,San Justo,10207.097151060449,710.0502075975829,3,2,2,False,False,True,False
957,13065.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Matanza,Villa Luzuriaga,9654.2429214191,4954.205213615849,1,2,2,False,False,True,False
958,20149.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,Lomas Del Mirador,14335.57903612451,3393.977389013502,2,2,3,True,False,False,False
959,13242.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Moreno,La Reja,14161.553495064984,382.0238688881839,3,1,2,False,False,True,False
960,14933.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,Rafael Castillo,5199.120988509946,273.20192312049306,2,1,1,False,True,False,False
961,16136.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Hurlingham,Hurlingham,6611.963911391036,23.94792864000431,2,2,1,False,True,False,False
962,15497.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,Tapiales,13679.08989570704,590.0387478904087,1,2,3,True,False,False,False
963,14685.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,La Reja,14551.85580530402,887.0907939009167,3,2,3,True,False,False,False
964,14684.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,13871.10089216609,58.36152029729703,1,2,3,True,False,False,False
965,15346.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,14808.29972965226,71.87391193946117,3,2,3,True,False,False,False
966,10869.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,15605.8883042041,867.4559337040677,3,1,2,False,False,True,False
967,15422.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,La Reja,18983.70569167441,2394.1916821078003,1,1,3,True,False,False,False
968,23699.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,14733.148878821385,1642.8887523052583,2,2,3,True,False,False,False
969,23564.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,14587.748564963931,71.41374780963267,5,2,3,True,False,False,False
970,16124.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,15562.647199452198,31.9388590175279,2,1,3,True,False,False,False
971,22647.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,José C. Paz,José C. Paz,16129.152870446838,377.9393472812525,3,2,3,True,False,False,False
