WKT,id,id_poligon,provincia,departamen,localidad
"MULTIPOLYGON (((-60.9251483157277 -25.6602458486023,-60.9250986948609 -25.6607191091847,-60.9261709079146 -25.6607417748743,-60.9260783717036 -25.660242826498,-60.9251483157277 -25.6602458486023)))","52","44",Chaco,General Güemes,Miraflores
"MULTIPOLYGON (((-59.0875679254532 -27.3871334517629,-59.0884014219046 -27.3885594157264,-59.0889140591025 -27.3877267621758,-59.0879548341036 -27.3869396502309,-59.0875679254532 -27.3871334517629)))","53","34",Chaco,Libertad,Puerto Tirol
"MULTIPOLYGON (((-60.6453587114811 -27.1754496643368,-60.6449577212334 -27.1754726307946,-60.6449644267559 -27.1762248542413,-60.6453805044293 -27.1762427500585,-60.6453587114811 -27.1754496643368)))","54","203",Chaco,O'Higgins,La Clotilde
"MULTIPOLYGON (((-59.0455826371908 -27.3989666096021,-59.0458511933684 -27.3993711370734,-59.0462686121464 -27.3988752260757,-59.045926630497 -27.3985995867081,-59.0455826371908 -27.3989666096021)))","55","371",Chaco,San Fernando,Fontana
"MULTIPOLYGON (((-59.0240847319364 -27.4197354996574,-59.0238024294376 -27.4194432461137,-59.0236049517989 -27.4193718194681,-59.0240847319364 -27.4197354996574)))","56","143",Chaco,San Fernando,Fontana
"MULTIPOLYGON (((-58.9635895192623 -27.4481830658272,-58.9634361675376 -27.4482490923334,-58.9635653793812 -27.4483978847649,-58.9637303352356 -27.4483348077795,-58.9635895192623 -27.4481830658272)))","57","331",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-60.9302164006478 -27.6957602379269,-60.9292592413342 -27.6951246207898,-60.9291235 -27.6965509,-60.9296921 -27.6966554,-60.9296117 -27.6979474,-60.9301535 -27.6979901,-60.9302164006478 -27.6957602379269)))","58","24028",Chaco,Mayor Luis J. Fontana,Coronel Du Graty
"MULTIPOLYGON (((-58.216342041255 -26.2157928100507,-58.2170442213527 -26.2139986868206,-58.2167045057115 -26.2139380233133,-58.2156974914894 -26.2151573598111,-58.216342041255 -26.2157928100507)))","59","17324",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2195911344458 -26.208793390297,-58.2199009587293 -26.2087098277309,-58.2198592275381 -26.2084619326633,-58.2195911344458 -26.208793390297)))","60","17321",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2216969111113 -26.2053171875476,-58.2215683533173 -26.2054431741857,-58.2216146341232 -26.2056822916825,-58.2214397955233 -26.2060165419469,-58.2218695431948 -26.2059044396627,-58.2216969111113 -26.2053171875476)))","61","17320",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2233675569296 -26.1979641819194,-58.2237953692675 -26.1980553347585,-58.2240696251392 -26.1975664779381,-58.2236176729202 -26.1974311018404,-58.2233675569296 -26.1979641819194)))","62","12165",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1655421439967 -26.1749833326357,-58.1655304948396 -26.1749498413088,-58.1655159333931 -26.1749076131141,-58.1654940912234 -26.1748784902212,-58.1654635121859 -26.1748610164854,-58.1654023541107 -26.1748493673282,-58.1653470206142 -26.1748551919068,-58.1652800379605 -26.1748726656426,-58.1651984938603 -26.1749061569694,-58.1651460726531 -26.1749294552838,-58.1650849145779 -26.1749600343213,-58.1650397740939 -26.1750095432393,-58.1649727914402 -26.1750619644465,-58.1649189140883 -26.1750939996287,-58.1648927034847 -26.1754114391615,-58.1648752297489 -26.1755046324189,-58.1648795981829 -26.1755890888083,-58.1649727914402 -26.1755774396512,-58.1651315112066 -26.1756225801352,-58.1652945994069 -26.1753080528917,-58.165454775318 -26.1752235965022,-58.1655421439967 -26.1749833326357)))","63","10906",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1674452084263 -26.1960150595697,-58.1675291763244 -26.1958895902967,-58.1674268706095 -26.1958538798113,-58.1674452084263 -26.1960150595697)))","64","17344",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1704829258518 -26.194968297325,-58.1705247177775 -26.1949292016525,-58.17041147514 -26.1948469659277,-58.1703899051139 -26.1949049353731,-58.1704829258518 -26.194968297325)))","65","17331",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1585670327433 -26.1545576984904,-58.1585925444961 -26.1549155281555,-58.1589710712433 -26.1549976863015,-58.1591114011606 -26.1549536027938,-58.1594268874024 -26.1546463645583,-58.159134083178 -26.154549450484,-58.1590928431464 -26.1546071865283,-58.1588206589377 -26.1545845045109,-58.1585670327433 -26.1545576984904)))","66","12043",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1691681486708 -26.1442257736104,-58.169279831926 -26.143880350713,-58.169123623705 -26.1438120096164,-58.1690064675393 -26.1437387870128,-58.1687428661665 -26.1438266541371,-58.1686403545215 -26.1438949952337,-58.1687623921941 -26.1443343308551,-58.1690769517881 -26.144430275711,-58.1691681486708 -26.1442257736104)))","67","13646",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1957103801436 -26.1568310758584,-58.1955919414759 -26.1564948804767,-58.1954613545863 -26.156760252076,-58.1955961482366 -26.1568059448388,-58.1957103801436 -26.1568310758584)))","68","19358",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1962842866778 -26.1573453384,-58.1995649635792 -26.1593513833785,-58.1998362019658 -26.1590399160109,-58.1976488605142 -26.1575878953268,-58.1963496655226 -26.1569733766741,-58.1962842866778 -26.1573453384)))","69","12118",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1514153431329 -26.1535584976299,-58.1511856195081 -26.1542195390807,-58.1517716491631 -26.1544258215193,-58.1520154374996 -26.1537132094588,-58.1514153431329 -26.1535584976299)))","70","13418",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-59.6880575138132 -25.3522566050194,-59.6889019316553 -25.3531820869743,-59.6891113472801 -25.3530402247769,-59.6896585300418 -25.3527902770956,-59.6897868815538 -25.3525268187289,-59.6892025444071 -25.3518175077415,-59.6880575138132 -25.3522566050194)))","71","37",Formosa,Patiño,Comandante Fontana
"MULTIPOLYGON (((-58.2145014035319 -26.2096147198378,-58.214372184348 -26.20958848244,-58.2143288926417 -26.2095727400014,-58.2142869128053 -26.2095779874809,-58.2142344380098 -26.20958848244,-58.2141294884189 -26.2096199673173,-58.214035033787 -26.2096632590236,-58.2139327079358 -26.2097301643878,-58.2138054565567 -26.2098075647112,-58.2138225108653 -26.2098115003208,-58.2138631788318 -26.2098141240606,-58.2139123739525 -26.2098219952799,-58.2139359876105 -26.2098272427595,-58.214115713785 -26.209856103897,-58.2142245989857 -26.2098705344658,-58.2142796975209 -26.2098770938152,-58.2143282367068 -26.2098731582055,-58.2143702165432 -26.2098600395067,-58.2144017014204 -26.2098390495885,-58.2144174438591 -26.2098141240606,-58.2145014035319 -26.2096147198378)))","72","17328",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-65.2872725275839 -24.1862992931634,-65.2871514190889 -24.1861747731615,-65.2868682640162 -24.1863368197393,-65.2869859610042 -24.1864425764532,-65.2870831889509 -24.1863914038497,-65.2871360673078 -24.1864511052205,-65.287303231146 -24.1866626186483,-65.2873509922426 -24.1866114460448,-65.2871582421027 -24.1863641117945,-65.2872725275839 -24.1862992931634)))","73","11405",Jujuy,Dr. Manuel Belgrano,San Salvador De Jujuy
"MULTIPOLYGON (((-64.8747351857633 -24.2369712821969,-64.8745716029438 -24.2369064004741,-64.874399014741 -24.2368962482268,-64.8742839559392 -24.2370079229463,-64.874456544142 -24.2374580059065,-64.8747650093429 -24.237366897545,-64.8748279270917 -24.2371663472209,-64.8747351857633 -24.2369712821969)))","74","13914",Jujuy,San Pedro,San Pedro De Jujuy
"MULTIPOLYGON (((-65.2999049797654 -24.1794317280805,-65.2995676919818 -24.1791576759558,-65.2980344742537 -24.179877061528,-65.2984817326069 -24.1800162279116,-65.2999049797654 -24.1794317280805)))","75","860",Jujuy,Dr. Manuel Belgrano,San Salvador De Jujuy
"MULTIPOLYGON (((-65.3002063813691 -24.1794152243793,-65.3024781276619 -24.178530959497,-65.3022337913129 -24.1782749880837,-65.3000987570248 -24.1791941581587,-65.3002063813691 -24.1794152243793)))","76","859",Jujuy,Dr. Manuel Belgrano,San Salvador De Jujuy
"MULTIPOLYGON (((-64.4638895988464 -23.6458875421931,-64.4634336233139 -23.6454818268672,-64.4626078382134 -23.6452029544376,-64.4620593264699 -23.6450797958296,-64.462099224329 -23.6453565186243,-64.4638895988464 -23.6458875421931)))","77","298",Jujuy,Ledesma,Yuto
"MULTIPOLYGON (((-64.6654569357634 -24.3080090549572,-64.6653442829847 -24.3080072216424,-64.6652185544372 -24.308313079302,-64.6654887869954 -24.3083219403021,-64.6654569357634 -24.3080090549572)))","78","277",Jujuy,Santa Bárbara,Santa Clara
"MULTIPOLYGON (((-66.8869710970434 -29.4540647414274,-66.887158326698 -29.4534445431966,-66.8869652461167 -29.4529764690601,-66.8868365257292 -29.4527892394056,-66.8872168359651 -29.4525435004839,-66.8876907610282 -29.452303612489,-66.8880944749709 -29.4521105319077,-66.8882817046255 -29.4520344698605,-66.8882290462852 -29.4518530911326,-66.8879657545834 -29.451706817965,-66.8876849101015 -29.4513440605092,-66.8873514072793 -29.4509403465665,-66.8872168359651 -29.4508818372994,-66.8869242896298 -29.4512972530956,-66.8865849358808 -29.4521514883946,-66.8862748367654 -29.4527424319919,-66.8860349487705 -29.4531285931545,-66.8857892098488 -29.4536259219245,-66.8855902783408 -29.4540237849405,-66.8853913468328 -29.454251971082,-66.8852216699584 -29.4545269646372,-66.8851222042044 -29.4547844054123,-66.8850519930839 -29.4550593989674,-66.8850402912305 -29.4552583304754,-66.8851280551311 -29.4554572619834,-66.8852509245919 -29.4555801314443,-66.8856312348278 -29.4551003554544,-66.8858301663358 -29.4547961072657,-66.8861051598909 -29.4547083433651,-66.8864328117865 -29.4546615359514,-66.8866668488547 -29.4545269646372,-66.8869710970434 -29.4540647414274)))","79","17959",La Rioja,Capital,La Rioja
"MULTIPOLYGON (((-55.9463685823898 -27.4014224955618,-55.9460780510381 -27.4014940550081,-55.9461030364037 -27.4016223545219,-55.9463771695233 -27.4015441466204,-55.9463685823898 -27.4014224955618)))","80","16433",Misiones,Capital,Posadas
