WKT,id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad
"MULTIPOLYGON (((-58.1008074963506 -34.8891147260079,-58.100996403069 -34.8892438122655,-58.1014340369669 -34.8895838443588,-58.1019314913255 -34.8898388684287,-58.1020290931301 -34.8900592596003,-58.1021046558175 -34.8900592596003,-58.1021959607314 -34.8903646587952,-58.1026808213089 -34.8902229787563,-58.1024793208092 -34.8898923919989,-58.1011160439908 -34.8890265695392,-58.1008074963506 -34.8891147260079)))","173","17485","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Plata,Arturo Seguí
"MULTIPOLYGON (((-58.0074793529642 -34.9508708855703,-58.0098179458899 -34.9490821740192,-58.0088062734133 -34.9481553023663,-58.0081936502958 -34.9486232663165,-58.0081173730143 -34.9487059906843,-58.0077280528548 -34.9490469664058,-58.0076234755707 -34.9490903284849,-58.0064891685813 -34.9499032496007,-58.0074793529642 -34.9508708855703)))","174","15877","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,San Carlos
"MULTIPOLYGON (((-58.0922575845146 -34.8812627753847,-58.0920069333212 -34.8809437647748,-58.0919157874326 -34.8810491522085,-58.0919634966087 -34.8813524971187,-58.0920952309007 -34.881655842029,-58.0921457883857 -34.8816622507243,-58.0921586057763 -34.8820439241325,-58.0920076453984 -34.8819627473256,-58.0912756299811 -34.8829454139363,-58.0909025014999 -34.8840790409249,-58.0914322869771 -34.8853835664546,-58.0922184202657 -34.8851443084972,-58.0928706830304 -34.886648215658,-58.0936126675293 -34.8863890195375,-58.0929945844727 -34.8849306853209,-58.0945298230327 -34.8844635626422,-58.0939829477015 -34.8831561888036,-58.0937536588256 -34.8820182893514,-58.0926670289358 -34.8817363067587,-58.0924861613133 -34.8816594024153,-58.0922554482829 -34.8814244169214,-58.0922575845146 -34.8812627753847)))","175","17561","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Arturo Seguí
"MULTIPOLYGON (((-58.0367522250907 -34.9511433172842,-58.0353030701465 -34.9498447238927,-58.0365310878102 -34.948870778849,-58.0359947122789 -34.9483814538029,-58.0347619895667 -34.9493365786525,-58.0337347598791 -34.9484435171793,-58.0315343262819 -34.9499999904939,-58.0345502623833 -34.9527900842663,-58.0367522250907 -34.9511433172842)))","176","20556","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Plata,José Melchor Romero
"MULTIPOLYGON (((-58.0409528687596 -34.9491803466864,-58.041247241199 -34.9494216317826,-58.040190115571 -34.9485488249296,-58.0398667581284 -34.9482170920178,-58.0391179025173 -34.9487425690668,-58.0409528687596 -34.9491803466864)))","177","15291","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Plata,José Melchor Romero
"MULTIPOLYGON (((-58.0912381999519 -35.0232515297281,-58.090330357687 -35.0224278405843,-58.0870041732638 -35.0249510776786,-58.0878658336229 -35.0257224438298,-58.0912381999519 -35.0232515297281)))","178","20559","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Plata,Angel Etcheverry
"MULTIPOLYGON (((-57.9658464475559 -34.9648252490067,-57.9641084580522 -34.966086323308,-57.9656466261654 -34.9674153058492,-57.9658489504287 -34.9672426755443,-57.9661043340575 -34.9675488846622,-57.9664441634439 -34.9676099110114,-57.9665760126771 -34.9678014395419,-57.9680392932498 -34.9666668660512,-57.9658464475559 -34.9648252490067)))","179","15517","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Los Hornos
"MULTIPOLYGON (((-57.9932796210051 -34.9623881495046,-57.9930689394447 -34.9624532122621,-57.9937455234646 -34.9644077883196,-57.993939728137 -34.9642449069814,-57.9932796210051 -34.9623881495046)))","180","16122","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Los Hornos
"MULTIPOLYGON (((-59.0074158845986 -34.1553308645478,-59.0080796319816 -34.154852660662,-59.0099839198541 -34.1563822127895,-59.0125104807266 -34.1536182665021,-59.00525661551 -34.1492510890183,-59.000017587421 -34.1524634432349,-59.0017525708846 -34.1539171734402,-59.004526414409 -34.156179172698,-59.0073074981412 -34.1584788025285,-59.0095788892119 -34.1603294699506,-59.0104005099048 -34.1598710376943,-59.0060665127569 -34.1563030338923,-59.0062115725439 -34.1561985240206,-59.0060994830971 -34.1561194020581,-59.0062310788404 -34.1560371547186,-59.0067081134096 -34.1556094685531,-59.0069219564924 -34.1554614233419,-59.0068726080887 -34.1552146813233,-59.0071029006394 -34.1550830855801,-59.0074158845986 -34.1553308645478)))","181","21142","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Campana,Campana
"MULTIPOLYGON (((-57.871665281852 -34.9408177105219,-57.8731935133463 -34.9423785732936,-57.8748087615804 -34.9414594589785,-57.8732642144474 -34.9398496492906,-57.871665281852 -34.9408177105219)))","182","15391","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-57.95529791 -34.965918894,-57.9540756296241 -34.9668864702393,-57.9549375934079 -34.9677634113263,-57.954786431449 -34.967874433122,-57.9552996802035 -34.9683192489378,-57.9551345365097 -34.9684555467948,-57.9554167870403 -34.968690412693,-57.9556735778772 -34.9685088084684,-57.955993578735 -34.9687876939386,-57.9561172764296 -34.9686902668562,-57.9561886064026 -34.9685491267658,-57.9563420756123 -34.9684298798932,-57.9572657969999 -34.9677219,-57.95529791 -34.965918894)))","183","20617","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Los Hornos
"MULTIPOLYGON (((-58.0689580227414 -34.9622073927905,-58.0674077873232 -34.9607241704307,-58.0675284108284 -34.9606303521489,-58.0665187474148 -34.9596474939587,-58.0662596302556 -34.9598261954478,-58.0652365642303 -34.9589058827788,-58.0645664336461 -34.9593883767995,-58.0686274249865 -34.9629847442682,-58.0693288283314 -34.9625335230081,-58.0689580227414 -34.9622073927905)))","184","17193","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,José Melchor Romero
"MULTIPOLYGON (((-58.7426228824368 -35.046300891895,-58.7416330601998 -35.045475502668,-58.7407399632628 -35.0461880457116,-58.7417253828039 -35.047024105428,-58.7426228824368 -35.046300891895)))","185","20622","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Cañuelas,Cañuelas
"MULTIPOLYGON (((-58.9025111261626 -34.592174327462,-58.8995988038947 -34.5906234542525,-58.9004843609296 -34.5895368435407,-58.8976174275826 -34.5880174302573,-58.8969436675509 -34.5889321477491,-58.896699640569 -34.5888032278341,-58.8965308168709 -34.5890411157725,-58.8975621761905 -34.5895368435407,-58.8970617118422 -34.5900680340809,-58.8956904360795 -34.5894654805114,-58.895786457838 -34.589317372733,-58.8954349975937 -34.5891393404695,-58.8955148051601 -34.5890273029244,-58.8958816130133 -34.5891853832963,-58.8970111970301 -34.5876843871436,-58.8948763446288 -34.5864258832118,-58.8930500997341 -34.5887487041548,-58.8921931080861 -34.5900300658283,-58.9006633563499 -34.5945486386508,-58.9025111261626 -34.592174327462)))","186","23659","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,General Rodríguez,General Rodríguez
"MULTIPOLYGON (((-57.9090099060892 -34.9499380762275,-57.9094698562624 -34.9503841610098,-57.906997614481 -34.952274971006,-57.9092755315809 -34.9543385140526,-57.9113359901087 -34.9528085927505,-57.9129029256358 -34.9516395601427,-57.9141583247687 -34.9507018664415,-57.9131011059657 -34.9497364120714,-57.9124271386179 -34.9491333886549,-57.911793270014 -34.9485519568698,-57.9109727880254 -34.9491148815424,-57.9105471244373 -34.9487339434763,-57.9098292026973 -34.9492698786098,-57.9096996529096 -34.9491326175253,-57.9093480177716 -34.949415622121,-57.9095114972656 -34.9495544254649,-57.9090099060892 -34.9499380762275)))","187","20521","SÍ, TODO EL BARRIO","Otro, especificar",Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-58.0378620201548 -34.9520150473383,-58.0368241031156 -34.9511254041619,-58.0343055998602 -34.9529876963041,-58.0323114203367 -34.9544454493493,-58.0289962101666 -34.9515089821981,-58.0290155502356 -34.9511092874377,-58.0287093324756 -34.9509255567817,-58.028527213492 -34.95055164878,-58.0289639767181 -34.9495137317409,-58.0289865401321 -34.9485370582537,-58.0225865889481 -34.9532560351025,-58.0256971167207 -34.9560248883219,-58.0268704142432 -34.9552641789392,-58.0298294448083 -34.9579266617787,-58.0378620201548 -34.9520150473383)))","188","18984","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,José Melchor Romero
"MULTIPOLYGON (((-57.9257980251708 -34.9585931042454,-57.9259646505123 -34.958492941821,-57.9256828851876 -34.958276703316,-57.925491921313 -34.9580763784672,-57.9254170335191 -34.9579640467763,-57.9247935926345 -34.957250740539,-57.9244874887767 -34.9574285990496,-57.9257980251708 -34.9585931042454)))","189","15833","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Plata,Altos De San Lorenzo
"MULTIPOLYGON (((-57.9254497969289 -34.9542205931765,-57.9237610771754 -34.9529325231207,-57.9227051592808 -34.9521162461667,-57.9211425471992 -34.9534062268325,-57.922134139852 -34.954325436088,-57.9221472452159 -34.954362879985,-57.9236468732897 -34.9556434612614,-57.9254497969289 -34.9542205931765)))","190","14272","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Altos De San Lorenzo
"MULTIPOLYGON (((-57.8832490582956 -34.9607337355042,-57.8875073179738 -34.957552585739,-57.8863888230293 -34.956525955332,-57.8861965220261 -34.9565353769915,-57.8847883139999 -34.9551642726697,-57.8805216774002 -34.9582660464087,-57.8832490582956 -34.9607337355042)))","191","22594","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-57.9190889441555 -34.951245495553,-57.9171585557647 -34.9495615358235,-57.9169831019532 -34.9497180533697,-57.9188930011699 -34.9513887479878,-57.9190889441555 -34.951245495553)))","192","15828","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Altos De San Lorenzo
"MULTIPOLYGON (((-57.9343164350072 -34.9449279372116,-57.9336651018067 -34.9454608897322,-57.9333276145704 -34.9451677961164,-57.9330012916294 -34.9454034961177,-57.9322630498706 -34.944785532853,-57.9312478004613 -34.945551461898,-57.9316813486276 -34.9459829012833,-57.9313856339021 -34.9461969714602,-57.9319248984028 -34.9466991529418,-57.9322728862881 -34.9464517178481,-57.9326184229301 -34.94676093464,-57.9329654409744 -34.9465191538378,-57.9336025385808 -34.9471306153987,-57.935338252584 -34.9458686091898,-57.9343164350072 -34.9449279372116)))","193","20644","SÍ, TODO EL BARRIO","Otro, especificar",Buenos Aires,La Plata,Altos De San Lorenzo
"MULTIPOLYGON (((-57.8923697867471 -34.9416919627094,-57.8920281017368 -34.9419574152075,-57.8919886241858 -34.941912492477,-57.8913501768956 -34.9423712488455,-57.8903305670442 -34.9432588130953,-57.8914019061003 -34.9442321389215,-57.8917517588798 -34.9439884671412,-57.8918157397383 -34.9439135959238,-57.8921029729542 -34.9437094016946,-57.8935268873796 -34.9427564952913,-57.8923697867471 -34.9416919627094)))","194","16975","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-57.8783401203444 -34.9730737645518,-57.8756539804481 -34.9706196583112,-57.8742563895186 -34.9716447580372,-57.8744763052407 -34.9718571483444,-57.8748872145851 -34.9715941556888,-57.8751204995251 -34.9718024022403,-57.8751959569043 -34.9717433445558,-57.8773717339708 -34.9737346302407,-57.8783401203444 -34.9730737645518)))","195","20697","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-57.8842080596269 -34.937946511108,-57.8833624091116 -34.9384943245828,-57.8839972581718 -34.9391613798497,-57.8847906257377 -34.9385690368414,-57.8842080596269 -34.937946511108)))","196","20642","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-57.8853346825405 -34.9489624983987,-57.8838550648991 -34.9500739747586,-57.8840666403483 -34.9502827292018,-57.883076467246 -34.9509936227112,-57.8819142127783 -34.9500485857047,-57.8801165267115 -34.9513518904719,-57.8807360901519 -34.9519206758045,-57.8809938595742 -34.9517200317535,-57.8833493995756 -34.953907016647,-57.8855709417924 -34.9522835276999,-57.8871591681645 -34.9535487488863,-57.888972369764 -34.952262370155,-57.8869186774036 -34.9503730013935,-57.8853346825405 -34.9489624983987)))","197","17558","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,Villa Elvira
"MULTIPOLYGON (((-59.8353247007465 -36.7560433142158,-59.8409431434532 -36.7516793275939,-59.8375048204484 -36.7488063878362,-59.8343403837216 -36.7509950602087,-59.8334544207657 -36.751686930358,-59.8357618596851 -36.7536180324521,-59.8340635922432 -36.7549067009754,-59.8328490506703 -36.7539031361077,-59.8319939479212 -36.7545543692213,-59.8332348909509 -36.7556289635696,-59.8340740460439 -36.7549779768893,-59.8353247007465 -36.7560433142158)))","198","21103","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Azul,Azul
"MULTIPOLYGON (((-62.1631790711607 -38.763388399162,-62.1694318723809 -38.7587248395291,-62.1690644009533 -38.7584615332306,-62.1683887743523 -38.7578821147002,-62.1649281772864 -38.7598381043461,-62.1638112956246 -38.7604602016447,-62.1625757814548 -38.7611068934877,-62.1614863878133 -38.7619214069275,-62.1631790711607 -38.763388399162)))","199","16423","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Bahía Blanca,Bahía Blanca
"MULTIPOLYGON (((-62.1791809156 -38.7599547013549,-62.1790596075052 -38.7596661157818,-62.1786082136995 -38.7597835930948,-62.1783818783331 -38.7590318021384,-62.1809497791624 -38.7585031542302,-62.1806586397347 -38.7575505664536,-62.1793587277286 -38.7577887133978,-62.1780805234868 -38.7580485681063,-62.1782353509236 -38.7585290120083,-62.1775322535472 -38.75865854686,-62.1773995160618 -38.7581976189672,-62.1750762327477 -38.7593717840358,-62.174379030434 -38.7597088928469,-62.1731514556872 -38.7602994829672,-62.1707057388436 -38.7615608909999,-62.1706194371885 -38.7618333806663,-62.169882650128 -38.7621717664046,-62.1704112980362 -38.7627553221874,-62.1704444981464 -38.7627329759594,-62.1707383773745 -38.7630231880945,-62.1733139496254 -38.7621944251563,-62.174060587 -38.7613198985636,-62.1746842160622 -38.7611735284765,-62.1745782310951 -38.7609334661414,-62.1764853220392 -38.760513357055,-62.176567683851 -38.760803858019,-62.1779352730048 -38.7605274032554,-62.1778497188747 -38.7602758485745,-62.1791809156 -38.7599547013549)))","200","16432","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Bahía Blanca,Bahía Blanca
"MULTIPOLYGON (((-57.7697861688096 -34.9214362387955,-57.7692239977675 -34.920751204084,-57.768649062535 -34.9211678702184,-57.7692675543445 -34.921824122563,-57.7697861688096 -34.9214362387955)))","201","22023","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Berisso,Los Talas
"MULTIPOLYGON (((-58.2267650838935 -35.1343715209733,-58.2228266432091 -35.1310353685513,-58.2219298184486 -35.1317680763422,-58.221571572133 -35.1314487811559,-58.2206841625513 -35.1320754522357,-58.2230337286578 -35.1340997343954,-58.2221640995971 -35.1347859205854,-58.2241232818861 -35.1363920654295,-58.2267650838935 -35.1343715209733)))","202","21630","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Brandsen,Brandsen
"MULTIPOLYGON (((-58.7256123482078 -34.9651189398507,-58.7250422871865 -34.964621639515,-58.7260385139387 -34.9638538138028,-58.7254611647601 -34.9633245000999,-58.7248772836203 -34.9628203552198,-58.7246245106629 -34.9630202167335,-58.72406868686 -34.9624716870799,-58.7238749568601 -34.9626219820599,-58.7233256737801 -34.9620934599999,-58.7227832139 -34.96252430196,-58.72217414398 -34.9620183148601,-58.7189544023217 -34.9644957424037,-58.7214021883124 -34.9667618336075,-58.7234023594379 -34.9651727973979,-58.7238375032888 -34.9648291341628,-58.7240637095803 -34.9650051672198,-58.7248383127015 -34.9656824021798,-58.7256123482078 -34.9651189398507)))","203","22953","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Cañuelas,Cañuelas
"MULTIPOLYGON (((-58.8856173301415 -34.6399969626349,-58.884652598162 -34.6392961274591,-58.8818381999826 -34.637325345858,-58.8822740524111 -34.6395242023522,-58.8832047109534 -34.6401060404697,-58.8842811820821 -34.639036277426,-58.884649420648 -34.6393010702586,-58.8838755194626 -34.6400777959009,-58.8841233655539 -34.6402571489128,-58.88384162598 -34.6405734880835,-58.8845816336828 -34.6410649435808,-58.8856173301415 -34.6399969626349)))","204","18058","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,General Rodríguez,General Rodríguez
"MULTIPOLYGON (((-58.8980010432906 -34.2168263587982,-58.895878216453 -34.2225003206578,-58.8964826316161 -34.2227060994843,-58.8963200753674 -34.2233407574266,-58.8966112471868 -34.2234709186348,-58.8975730690163 -34.2203988069705,-58.899136135797 -34.2179020042404,-58.8997886969657 -34.2178609938178,-58.8980010432906 -34.2168263587982)))","205","20919","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Campana,Ingeniero Otamendi
"MULTIPOLYGON (((-59.835890117351 -34.36759503269,-59.8348716908261 -34.3677410570814,-59.8347043140674 -34.3672221891295,-59.8337561582854 -34.3673871078351,-59.8340219423966 -34.3684945416318,-59.834698920534 -34.3683745481524,-59.8347784867258 -34.3685758038139,-59.8360348328302 -34.3681999158959,-59.835890117351 -34.36759503269)))","206","21078","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Carmen de Areco,Carmen De Areco
"MULTIPOLYGON (((-57.9825688968327 -35.5687070078716,-57.9829062227073 -35.5687349336667,-57.9828441653848 -35.5691188025332,-57.9837094217675 -35.5692154346497,-57.9836172223169 -35.5696383109761,-57.985044540735 -35.5698173906782,-57.9854346153338 -35.568815608186,-57.9857019050871 -35.5674011444989,-57.9841105780309 -35.5672176321309,-57.9839297252624 -35.5682211876895,-57.9810414001653 -35.5678984896123,-57.9808499089987 -35.5688949529055,-57.9824882223134 -35.5690828979394,-57.9825688968327 -35.5687070078716)))","207","20959","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Chascomús,Chascomús
"MULTIPOLYGON (((-60.0318211897478 -34.8804776714592,-60.0321545305363 -34.8807653636683,-60.0330951035891 -34.8800625878659,-60.0319243911144 -34.8790701230449,-60.031153446576 -34.8784240161875,-60.0294607335593 -34.8797181003313,-60.0310122544586 -34.8811061356209,-60.0318211897478 -34.8804776714592)))","208","22586","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Chivilcoy,Chivilcoy
"MULTIPOLYGON (((-58.8840391997608 -34.6106088835787,-58.8842155160277 -34.6112865992295,-58.8875434855648 -34.6105207254453,-58.8877749006651 -34.611148852146,-58.8895084149138 -34.610821315219,-58.8890717881079 -34.6094267124707,-58.8840391997608 -34.6106088835787)))","209","18035","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,General Rodríguez,General Rodríguez
"MULTIPOLYGON (((-60.0033343097659 -34.923608578331,-60.0024945349328 -34.9227859417598,-60.0024191265804 -34.9228407841979,-60.003262329066 -34.9236651345953,-60.0033343097659 -34.923608578331)))","210","14588","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Chivilcoy,Chivilcoy
"MULTIPOLYGON (((-58.174014637 -34.9407127339999,-58.172673532 -34.941776911,-58.172115633 -34.942234239,-58.1714826309999 -34.9417241419999,-58.1709676469999 -34.942269418,-58.169937679 -34.943025763,-58.171107122 -34.9439931699999,-58.172201463 -34.9449253879999,-58.1731545929999 -34.944145076,-58.174250671 -34.9450397159999,-58.1725126 -34.9463324889999,-58.173735687 -34.9473878,-58.1744116039999 -34.946842558,-58.174915859 -34.947343829,-58.1759561344862 -34.9464975248478,-58.1763853540149 -34.9468861186598,-58.1768843437962 -34.9464878100025,-58.1764445262544 -34.946100982526,-58.1771259989999 -34.945549792,-58.174390146 -34.943210451,-58.175740242 -34.94216628,-58.174572536 -34.941161273,-58.174014637 -34.9407127339999)))","211","20662","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Plata,El Peligro
"MULTIPOLYGON (((-57.9307393810675 -34.8928431398458,-57.9299880533504 -34.8934055242021,-57.930356528341 -34.8937362985336,-57.930236127341 -34.8938284535777,-57.930251549848 -34.8938984517999,-57.930178294 -34.89420373,-57.9301999673439 -34.8944618230789,-57.9308552092978 -34.8943314433023,-57.9308096599528 -34.8941684685816,-57.9305837589999 -34.8938852209999,-57.9308330614512 -34.8936674257865,-57.9310683300864 -34.8934593196047,-57.9312125000316 -34.8933322828994,-57.9311122078958 -34.8932461988162,-57.931147357 -34.8932189229999,-57.9307393810675 -34.8928431398458)))","212","20561","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Ensenada,El Dique
"MULTIPOLYGON (((-57.6755691650913 -36.3300590078044,-57.6756955706814 -36.3297531878282,-57.6727433885113 -36.3289539782904,-57.6703294494993 -36.3282648639441,-57.6696403351529 -36.3280202079631,-57.6693141271783 -36.3279631215676,-57.6674751297215 -36.3273677920139,-57.6673314428756 -36.3275929670438,-57.6698788794993 -36.3285458328156,-57.6717776163772 -36.3291114429766,-57.6755691650913 -36.3300590078044)))","213","20215","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Dolores,Dolores
"MULTIPOLYGON (((-58.6417362293547 -34.6900521750826,-58.6422021687463 -34.6899608023823,-58.6421542061516 -34.6897825061577,-58.6416882449908 -34.6898657832904,-58.6417362293547 -34.6900521750826)))","590","22075","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Morón,Castelar
"MULTIPOLYGON (((-57.6605120301247 -36.314647239864,-57.6602988542018 -36.3150380409619,-57.6595777493146 -36.3148074537814,-57.6594532368279 -36.3150368303402,-57.6590340844425 -36.3148861629016,-57.658927786295 -36.3151072106106,-57.6593156644694 -36.315255882646,-57.6593944670774 -36.3153435620113,-57.6604079376352 -36.3156242553687,-57.660889174172 -36.3147453123442,-57.6605120301247 -36.314647239864)))","214","20274","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Dolores,Dolores
"MULTIPOLYGON (((-58.004601017 -35.5580735619999,-58.004287753 -35.561429956,-58.00897982 -35.5616571579999,-58.0067396159999 -35.559610719,-58.0058609549999 -35.5588997519999,-58.004601017 -35.5580735619999)))","215","21332","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Chascomús,Chascomús
"MULTIPOLYGON (((-59.4963677534978 -33.8211682787085,-59.498220000251 -33.8202160673495,-59.4979612944251 -33.8198519225947,-59.4960720896969 -33.8207465229924,-59.4963677534978 -33.8211682787085)))","216","18474","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Baradero,Baradero
"MULTIPOLYGON (((-59.0647286762703 -34.1091699966104,-59.0659924322703 -34.1075890946104,-59.0648678442703 -34.1069886746104,-59.0636216762703 -34.1086009966105,-59.0647286762703 -34.1091699966104)))","217","16340","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Zárate,Zárate
"MULTIPOLYGON (((-58.7255998034146 -34.4268268653799,-58.7260079451402 -34.427121960941,-58.7264770170588 -34.426501455471,-58.7267242393985 -34.4261366194375,-58.7266838013984 -34.4261041364375,-58.7262954073984 -34.4262526594375,-58.7263773213984 -34.4263855164375,-58.7263084843175 -34.4264486305361,-58.7261089323984 -34.4265699034375,-58.7259514473984 -34.4266540204375,-58.7255998034146 -34.4268268653799)))","218","17084","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Escobar,Garín
"MULTIPOLYGON (((-58.735982376 -34.377259075,-58.736924345 -34.376512275,-58.735980528933 -34.3755979014416,-58.7331904898374 -34.377616937987,-58.7341833169561 -34.3785314776627,-58.7343434503624 -34.3784567487398,-58.7346780253233 -34.3789598557061,-58.7365720791048 -34.378219605622,-58.735982376 -34.377259075)))","219","17055","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Escobar,Ingeniero Maschwitz
