WKT,id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad
"MULTIPOLYGON (((-60.7510568708737 -32.7367924354368,-60.752783 -32.73443,-60.7510156936893 -32.7347287417475,-60.7510568708737 -32.7367924354368)))","2537","22391","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,San Lorenzo,San Lorenzo
"MULTIPOLYGON (((-60.7089310583302 -32.9169767712305,-60.7088592340082 -32.9184223919178,-60.7094641792636 -32.9184419062808,-60.7094723533335 -32.9182060469999,-60.7091816363335 -32.9182136460001,-60.7092528120001 -32.9169909173331,-60.7089310583302 -32.9169767712305)))","2538","11290","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6851383176351 -32.9684868729897,-60.6851869690755 -32.9685124046386,-60.6855754134636 -32.9684358008954,-60.6863396765462 -32.9682850832773,-60.686367608016 -32.9682398409716,-60.6863078561089 -32.9679929603062,-60.6850858585682 -32.9682583777189,-60.6851383176351 -32.9684868729897)))","2539","17846","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6843484465699 -32.9650681986337,-60.6822532802778 -32.9653924585052,-60.6823563946715 -32.9658846799838,-60.6836998835206 -32.9657308177088,-60.6844769481951 -32.9655951252501,-60.6843484465699 -32.9650681986337)))","2540","12609","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6848596944883 -32.961835512308,-60.6835474952103 -32.9620923971322,-60.6813341951324 -32.9624709155082,-60.6813183806528 -32.962409916801,-60.681012257511 -32.9624720451139,-60.681026268551 -32.962558292535,-60.680779350936 -32.962598666259,-60.6808094932899 -32.962789746714,-60.6782359847728 -32.9632346933388,-60.6781913497038 -32.9630981290671,-60.678007 -32.96314,-60.6767206030965 -32.9633760120667,-60.6767666345284 -32.9635482769343,-60.6780867371399 -32.9633054028499,-60.6781357275085 -32.9635145050263,-60.6809196298445 -32.9629413962778,-60.6810188024498 -32.9628693222179,-60.6815516442276 -32.9626985310546,-60.6815635050874 -32.9627375024509,-60.6822627310089 -32.9625934777255,-60.6822367500781 -32.9624850355793,-60.6836313408334 -32.9622438426754,-60.6849020547016 -32.9620185084297,-60.6848596944883 -32.961835512308)))","2541","18832","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.720766 -32.883153,-60.7211928504854 -32.8809748621359,-60.7209617009709 -32.880965,-60.7220106712986 -32.8756686343646,-60.7214239213642 -32.8755178650811,-60.7210247165348 -32.8775725760413,-60.719908063784 -32.8774984708708,-60.7199169429102 -32.877664921403,-60.7209804932077 -32.8777473760242,-60.7206571495145 -32.8790958621359,-60.7202618621359 -32.8803215747572,-60.7202434252426 -32.8810638737864,-60.7199724994001 -32.8812843495792,-60.7196559680193 -32.8812885235626,-60.7195468547208 -32.8811274,-60.7191237422339 -32.8811776337926,-60.7187924750995 -32.8813445371107,-60.718609574766 -32.8813925602451,-60.7179298562213 -32.8814690241532,-60.7178498940903 -32.8813349343783,-60.7173238970874 -32.8813329883495,-60.7171607242718 -32.883050137864,-60.7178389883495 -32.8830982757281,-60.7200852873786 -32.8832968504854,-60.7200855747572 -32.8839312873786,-60.7199768621359 -32.8844335631067,-60.7202967009708 -32.8844575631067,-60.7200578621359 -32.8857298504854,-60.7205138504854 -32.8857935631068,-60.7206338504854 -32.8846477126213,-60.720766 -32.883153)))","2542","23839","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.627304480378 -32.984164461689,-60.6274186652772 -32.984557765231,-60.6276296451688 -32.9846065339804,-60.6279134665075 -32.9845535361606,-60.6277908234675 -32.9841137128448,-60.627304480378 -32.984164461689)))","2543","20529","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6267783790827 -32.9837287943414,-60.6269873001021 -32.9843463117138,-60.6272368152524 -32.9843843733469,-60.627046507087 -32.9836908058104,-60.6269957582428 -32.9833228766905,-60.6266743488967 -32.9833524801829,-60.6267783790827 -32.9837287943414)))","2544","20528","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6265567615628 -32.982127972759,-60.6266509741545 -32.9817516686022,-60.6264374032617 -32.9816785450373,-60.6264246627688 -32.9814521428467,-60.6263975054026 -32.9809855556313,-60.626297961636 -32.9808404123984,-60.6262218383698 -32.9808869321722,-60.6261837767367 -32.9813817334024,-60.6259159947579 -32.9818479165755,-60.625962652266 -32.9821721279249,-60.6265567615628 -32.982127972759)))","2545","20526","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6267081814594 -32.9843336245027,-60.626863874495 -32.9841787740994,-60.6264290628167 -32.983796532569,-60.6262810453546 -32.9840925674931,-60.6267081814594 -32.9843336245027)))","2546","20527","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7136355311264 -32.8347719571069,-60.7124755487677 -32.8330942563059,-60.7117224526125 -32.8332631326567,-60.711785955387 -32.8336864404488,-60.7119271330097 -32.833708092233,-60.7120749902913 -32.8345988995145,-60.7119463124413 -32.8346450248391,-60.7120241366907 -32.83517386205,-60.7126171887189 -32.8352506024591,-60.7136355311264 -32.8347719571069)))","2547","17555","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,San Lorenzo,Capitán Bermúdez
"MULTIPOLYGON (((-60.749578341 -32.7167508969999,-60.750325 -32.716743,-60.750862 -32.716816,-60.751784 -32.717005,-60.752492 -32.717303,-60.752879 -32.717592,-60.753479071875 -32.7178488213541,-60.7546087145833 -32.7161414640624,-60.7537911786458 -32.7159942854166,-60.750427 -32.716261,-60.749649 -32.716283,-60.748651 -32.716112,-60.747836 -32.71613,-60.747493 -32.716075,-60.746592 -32.716021,-60.745841 -32.71613,-60.744715784375 -32.7160568213541,-60.7439551765625 -32.7162175359375,-60.7435879281249 -32.716382,-60.7430582854166 -32.7164588213541,-60.7389534640625 -32.7178744640624,-60.739274 -32.718296,-60.739661 -32.718134,-60.742794 -32.717249,-60.743899 -32.717132,-60.749578341 -32.7167508969999)))","2548","22491","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,San Lorenzo,San Lorenzo
"MULTIPOLYGON (((-60.694760495042 -32.9165241417686,-60.6941608969516 -32.9165199192469,-60.6941940464316 -32.9164514816108,-60.6942238366454 -32.9157021431564,-60.694211429403 -32.9155128927739,-60.69401303955 -32.9155138166395,-60.6939891886196 -32.9172867357977,-60.6941944087125 -32.9173569426716,-60.6947640175004 -32.9165406608837,-60.694760495042 -32.9165241417686)))","2549","20711","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7389653990291 -32.7777054655339,-60.7386392846922 -32.7786356804291,-60.7400049827256 -32.7783528572462,-60.7401930219711 -32.7779865470277,-60.740290704696 -32.777893748439,-60.7406838989489 -32.7766410382348,-60.739763465534 -32.7768350665048,-60.7398278669903 -32.7775806723301,-60.7389653990291 -32.7777054655339)))","2550","19604","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,San Lorenzo,Fray Luis Beltrán
